sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
4796,2026-07-10T10:21:12.000+01:00,7.7804365158081055,8.227514266967773,8.227516174316406,679.0,32.621116638183594,48.46570587158203,1016.9146728515625,0.760498046875,1.0,21.0,30049,16771,live,,,,,,
4797,2026-07-10T10:21:22.000+01:00,7.856478691101074,8.307927131652832,8.307928085327148,669.0,32.589073181152344,47.2205696105957,1016.9666137695312,0.5194091796875,1.0,17.0,30225,16707,live,,,,,,
4798,2026-07-10T10:21:32.000+01:00,8.672660827636719,9.171008110046387,9.171009063720703,659.0,32.38079071044922,45.998321533203125,1016.9261474609375,0.4046630859375,1.0,12.0,30505,16662,live,,,,,,
4799,2026-07-10T10:21:42.000+01:00,8.830845832824707,9.338282585144043,9.338284492492676,630.0,32.3060188293457,44.8447380065918,1016.9511108398438,0.2496337890625,1.0,8.0,30617,16608,live,,,,,,
4800,2026-07-10T10:21:52.000+01:00,9.199612617492676,9.728239059448242,9.728240966796875,616.0,32.271305084228516,44.0299072265625,1016.9173583984375,0.3375244140625,1.0,6.0,30656,16546,live,,,,,,
4801,2026-07-10T10:22:02.000+01:00,9.278247833251953,9.811392784118652,9.811394691467285,601.0,32.324710845947266,43.57976531982422,1016.9353637695312,0.1800537109375,1.0,4.0,30692,16521,live,,,,,,
4802,2026-07-10T10:22:12.000+01:00,9.040935516357422,9.560443878173828,9.560445785522461,583.0,32.383460998535156,43.40734100341797,1016.970947265625,0.3558349609375,1.0,3.0,30695,16518,live,,,,,,
4803,2026-07-10T10:22:22.000+01:00,8.830163955688477,9.33756160736084,9.337563514709473,568.0,32.42351531982422,42.73441696166992,1017.0042114257812,0.3326416015625,1.0,3.0,30755,16529,live,,,,,,
4804,2026-07-10T10:22:32.000+01:00,8.324377059936523,8.802711486816406,8.802712440490723,559.0,32.47692108154297,42.429237365722656,1017.0359497070312,0.3173828125,1.0,3.0,30803,16516,live,,,,,,
4805,2026-07-10T10:22:42.000+01:00,8.698208808898926,9.198023796081543,9.198025703430176,552.0,32.35408401489258,42.014190673828125,1017.0125732421875,0.2337646484375,1.0,2.0,30896,16509,live,,,,,,
4806,2026-07-10T10:22:52.000+01:00,9.981465339660645,10.555018424987793,10.555020332336426,537.0,32.19119644165039,41.70290756225586,1016.9849853515625,0.27587890625,1.0,2.0,30950,16477,live,,,,,,
4807,2026-07-10T10:23:02.000+01:00,10.356843948364258,10.951967239379883,10.951969146728516,525.0,32.09773254394531,41.501487731933594,1017.005859375,0.208740234375,1.0,2.0,30984,16447,live,,,,,,
4808,2026-07-10T10:23:12.000+01:00,10.855722427368164,11.479512214660645,11.479514122009277,515.0,31.771953582763672,41.75936508178711,1017.027099609375,0.21240234375,1.0,2.0,31053,16425,live,,,,,,
4809,2026-07-10T10:23:22.000+01:00,10.622382164001465,11.232763290405273,11.232765197753906,508.0,31.60906410217285,41.68764877319336,1017.0999145507812,0.7281494140625,1.0,2.0,31057,16402,live,,,,,,
4810,2026-07-10T10:23:32.000+01:00,9.941730499267578,10.513001441955566,10.5130033493042,505.0,31.558326721191406,42.012664794921875,1017.1427612304688,0.428466796875,1.0,2.0,31030,16399,live,,,,,,
4811,2026-07-10T10:23:42.000+01:00,10.433735847473145,11.03327751159668,11.033279418945312,499.0,31.518272399902344,42.34988784790039,1017.26953125,1.2677001953125,1.0,2.0,31079,16422,live,,,,,,
4812,2026-07-10T10:23:52.000+01:00,10.403685569763184,11.001501083374023,11.001502990722656,494.0,31.26993179321289,42.525367736816406,1017.3604125976562,0.9088134765625,1.0,2.0,31151,16446,live,,,,,,
4813,2026-07-10T10:24:02.000+01:00,10.119029998779297,10.700488090515137,10.70048999786377,480.0,30.850690841674805,42.74662399291992,1017.4716186523438,1.112060546875,1.0,2.0,31205,16426,live,,,,,,
4814,2026-07-10T10:24:12.000+01:00,9.69912052154541,10.256449699401855,10.256451606750488,476.0,30.607690811157227,42.94346618652344,1017.5294799804688,0.57861328125,1.0,2.0,31239,16386,live,,,,,,
4815,2026-07-10T10:24:22.000+01:00,8.995148658752441,9.5120267868042,9.512028694152832,476.0,30.511558532714844,43.06248474121094,1017.5680541992188,0.3857421875,1.0,2.0,31256,16373,live,,,,,,
4816,2026-07-10T10:24:32.000+01:00,9.275518417358398,9.808506965637207,9.80850887298584,476.0,30.50621795654297,43.04417419433594,1017.611083984375,0.4302978515625,1.0,2.0,31250,16365,live,,,,,,
4817,2026-07-10T10:24:42.000+01:00,9.765917778015137,10.327085494995117,10.32708740234375,477.0,30.629053115844727,42.94956970214844,1017.6375732421875,0.264892578125,1.0,2.0,31252,16365,live,,,,,,
4818,2026-07-10T10:24:52.000+01:00,9.890403747558594,10.458724021911621,10.458725929260254,477.0,30.687801361083984,42.93278503417969,1017.671630859375,0.340576171875,1.0,2.0,31256,16383,live,,,,,,
4819,2026-07-10T10:25:02.000+01:00,9.777949333190918,10.339808464050293,10.339810371398926,477.0,30.65842628479004,42.94194030761719,1017.6602172851562,0.1141357421875,1.0,2.0,31277,16394,live,,,,,,
4820,2026-07-10T10:25:12.000+01:00,9.830339431762695,10.395208358764648,10.395210266113281,477.0,30.64774513244629,42.80155563354492,1017.58984375,0.7037353515625,1.0,2.0,31270,16393,live,,,,,,
4821,2026-07-10T10:25:22.000+01:00,9.824317932128906,10.388840675354004,10.388842582702637,481.0,30.749217987060547,42.99992370605469,1017.612548828125,0.22705078125,1.0,3.0,31255,16387,live,,,,,,
4822,2026-07-10T10:25:32.000+01:00,9.761358261108398,10.322263717651367,10.322265625,487.0,30.807964324951172,43.00144958496094,1017.6956787109375,0.831298828125,1.0,3.0,31264,16412,live,,,,,,
4823,2026-07-10T10:25:42.000+01:00,9.86525821685791,10.432134628295898,10.432135581970215,495.0,30.906766891479492,42.63676071166992,1017.6910400390625,0.04638671875,1.0,3.0,31254,16413,live,,,,,,
4824,2026-07-10T10:25:52.000+01:00,9.132113456726074,9.656861305236816,9.65686321258545,498.0,31.002899169921875,42.75425338745117,1017.7006225585938,0.0958251953125,1.0,3.0,31194,16407,live,,,,,,
4825,2026-07-10T10:26:02.000+01:00,57.88214111328125,61.20815658569336,61.208168029785156,502.0,31.042953491210938,42.85648727416992,1017.5381469726562,1.624755859375,1.0,4.0,31178,16416,live,,,,,,
4826,2026-07-10T10:26:12.000+01:00,14.995645523071289,15.857322692871094,15.857325553894043,503.0,31.002899169921875,42.74204635620117,1017.6975708007812,1.59423828125,1.0,4.0,31184,16438,live,,,,,,
4828,2026-07-10T10:26:32.000+01:00,13.540183067321777,14.31822681427002,14.318228721618652,508.0,31.133745193481445,43.984130859375,1017.6956787109375,0.0189208984375,1.0,5.0,31068,16442,live,,,,,,
4829,2026-07-10T10:26:42.000+01:00,13.297562599182129,14.061664581298828,14.061667442321777,513.0,31.184480667114258,45.03395080566406,1017.666259765625,0.294189453125,1.0,6.0,30931,16505,live,940GZZLUSTD,Stratford,,,,
4830,2026-07-10T10:26:52.000+01:00,13.286989212036133,14.050484657287598,14.05048656463623,517.0,31.267261505126953,45.09956359863281,1017.6981201171875,0.318603515625,1.0,7.0,30907,16554,live,940GZZLUSTD,Stratford,,,,
4831,2026-07-10T10:27:02.000+01:00,13.659074783325195,14.443950653076172,14.443952560424805,550.0,31.312658309936523,44.96528625488281,1017.70166015625,0.035400390625,1.0,8.0,30875,16570,live,940GZZLUSTD,Stratford,,,,
4832,2026-07-10T10:27:12.000+01:00,12.560466766357422,13.282214164733887,13.28221607208252,625.0,31.39276695251465,45.12855911254883,1017.7210693359375,0.194091796875,1.0,9.0,30807,16572,live,940GZZLUSTD,Stratford,,,,
4833,2026-07-10T10:27:22.000+01:00,12.276527404785156,12.981959342956543,12.981961250305176,693.0,31.536964416503906,45.85488510131836,1017.7420043945312,0.2093505859375,1.0,9.0,30791,16587,live,940GZZLUSTD,Stratford,,,,
4834,2026-07-10T10:27:32.000+01:00,12.381912231445312,13.093400001525879,13.093401908874512,722.0,31.64377784729004,46.31723403930664,1017.769287109375,0.2728271484375,1.0,10.0,30769,16634,live,940GZZLUSTD,Stratford,,,,
4835,2026-07-10T10:27:42.000+01:00,12.574031829833984,13.296558380126953,13.296561241149902,729.0,31.761272430419922,46.82230758666992,1017.7345581054688,0.3472900390625,1.0,11.0,30713,16657,live,940GZZLUSTD,Stratford,,,,
4836,2026-07-10T10:27:52.000+01:00,16.980384826660156,17.95611000061035,17.956111907958984,732.0,31.85206413269043,46.89707946777344,1017.757080078125,0.2252197265625,1.0,12.0,30656,16689,live,940GZZLUSTD,Stratford,,,,
4837,2026-07-10T10:28:02.000+01:00,17.39054298400879,18.47300910949707,18.577600479125977,732.0,31.974899291992188,46.67887496948242,1017.7329711914062,0.2410888671875,1.0,13.0,30606,16691,live,940GZZLUSTD,Stratford,,,,
4838,2026-07-10T10:28:12.000+01:00,16.252426147460938,17.499361038208008,17.892995834350586,731.0,32.084381103515625,46.567481994628906,1017.677978515625,0.5499267578125,1.0,14.0,30583,16686,live,940GZZLUSTD,Stratford,,,,
4839,2026-07-10T10:28:22.000+01:00,14.07636833190918,15.100956916809082,15.372230529785156,731.0,32.164493560791016,45.897613525390625,1017.6932983398438,0.1531982421875,1.0,14.0,30781,16701,live,940GZZLUSTD,Stratford,,,,
4840,2026-07-10T10:28:32.000+01:00,12.721046447753906,13.472835540771484,13.49901008605957,730.0,32.21255874633789,44.6280632019043,1017.7028198242188,0.09521484375,1.0,13.0,30874,16688,live,940GZZLUSTD,Stratford,,,,
4841,2026-07-10T10:28:42.000+01:00,12.40113639831543,13.115904808044434,13.118642807006836,723.0,32.281986236572266,43.869686126708984,1017.8487548828125,1.4593505859375,1.0,13.0,30873,16645,live,940GZZLUSTD,Stratford,,,,
4843,2026-07-10T10:29:02.000+01:00,12.09324836730957,12.788172721862793,12.788204193115234,684.0,32.44487762451172,43.2639045715332,1018.347412109375,4.986572265625,1.0,12.0,30895,16624,live,940GZZLUSTD,Stratford,,,,
4844,2026-07-10T10:29:12.000+01:00,11.584826469421387,12.250515937805176,12.250523567199707,673.0,32.47425079345703,42.88853454589844,1018.3482666015625,0.008544921875,1.0,12.0,30891,16624,live,940GZZLUSTD,Stratford,,,,
4845,2026-07-10T10:29:22.000+01:00,10.537474632263184,11.142980575561523,11.142987251281738,659.0,32.48760223388672,42.65049362182617,1018.320068359375,0.281982421875,1.0,12.0,30911,16610,live,940GZZLUSTD,Stratford,,,,
4846,2026-07-10T10:29:32.000+01:00,10.22042465209961,10.807713508605957,10.807719230651855,652.0,32.50896453857422,42.404823303222656,1018.3077392578125,0.123291015625,1.0,11.0,30922,16603,live,940GZZLUSTD,Stratford,,,,
4847,2026-07-10T10:29:42.000+01:00,10.289887428283691,10.881166458129883,10.881173133850098,648.0,32.52765655517578,42.26291275024414,1018.3004760742188,0.0726318359375,1.0,11.0,30897,16597,live,940GZZLUSTD,Stratford,,,,
4848,2026-07-10T10:29:52.000+01:00,10.817768096923828,11.439380645751953,11.439388275146484,646.0,32.578392028808594,42.26749038696289,1018.25390625,0.4656982421875,1.0,11.0,30895,16590,live,940GZZLUSTD,Stratford,,,,
4849,2026-07-10T10:30:02.000+01:00,10.669046401977539,11.282113075256348,11.282119750976562,647.0,32.55970001220703,42.31784439086914,1018.2132568359375,0.406494140625,1.0,11.0,30898,16596,live,940GZZLUSTD,Stratford,,,,
4850,2026-07-10T10:30:12.000+01:00,10.089248657226562,10.668998718261719,10.669005393981934,647.0,32.57305145263672,42.446022033691406,1017.9461669921875,2.6708984375,1.0,11.0,30866,16582,live,940GZZLUSTD,Stratford,,,,
4851,2026-07-10T10:30:22.000+01:00,10.663905143737793,11.276676177978516,11.27668285369873,651.0,32.578392028808594,42.67185592651367,1017.7192993164062,2.2686767578125,1.0,12.0,30912,16589,live,940GZZLUSTD,Stratford,,,,
4852,2026-07-10T10:30:32.000+01:00,10.831788063049316,11.454205513000488,11.45421314239502,657.0,32.578392028808594,42.32547378540039,1017.7198486328125,0.0054931640625,1.0,12.0,30940,16601,live,940GZZLUSTD,Stratford,,,,
